제목,태그,이용 연령,작가,요일,평균 평점,선호작 수
궤짝,#스릴러,15,"그림,화요웹툰,박태준 만화회",화요웹툰,9.757,48293
달과 인어,#성장드라마#드라마#러블리#감성드라마#인외존재#힐링,0,원산,토요웹툰,9.973,40091
반대로 끌리는 사이,#캠퍼스로맨스#로맨스코미디#로맨스#2021 지상최대공모전#햇살캐,0,한,화요웹툰,9.895,35921
앞집나리,#하이퍼리얼리즘#로맨스코미디#하이틴#현실로맨스#로맨스#2030연애,18,민송,목요웹툰,9.937,232215
블러드 리벤저,#2021 지상최대공모전#판타지,15,고,일요웹툰,9.88,39053
급식아빠,#학원물#액션,15,김재,수요웹툰,8.469,383794
랭커,#액션,15,"신건,taibog",월요웹툰,9.919,30162
중매쟁이 아가 황녀님,#소설원작#육아물#회귀#로맨스#빙의,0,"지미신,박카",토요웹툰,9.965,85643
"언니, 이번 생엔 내가 왕비야",#소설원작#회귀#로맨스#사이다#복수극#로판#레드아이스 스튜디오,15,"테미스,Omin,레팔진",금요웹툰,9.96,318797
용두사망 소설 속의 악녀가 되었다,#로맨스#빙의#로판#소설원작,0,"윤림,너구리,하",토요웹툰,9.923,60727
더 게이머,#먼치킨#게임판타지#판타지,0,"성상영,상",금요웹툰,3.845,396898
똑 닮은 딸,#2020 지상최대공모전#서스펜스#스릴러,15,이,월요웹툰,9.984,419044
"오, 친애하는 숙적",#소설원작#로맨스#복수극#로판#레드아이스 스튜디오,15,"벨마,미나토,오",목요웹툰,9.981,82331
여름여자 하보이,#2020 지상최대공모전#로맨스#성별반전,12,석,금요웹툰,9.977,84151
비서 일탈,#소설원작#고자극로맨스#오피스로맨스#로맨스#직진남#2030연애,15,"솔방울,꿀봉이,반지",목요웹툰,9.979,94673
묘약마녀,#성장드라마#판타지,0,자,토요웹툰,9.973,60971
네버엔딩달링,#sf#스릴러,15,울,금요웹툰,9.908,88080
밀실 마피아 게임,#소설원작#스릴러,15,"WONS,PAN,백지",일요웹툰,9.147,20127
스포,#성인웹툰#아포칼립스#스릴러,18,이,금요웹툰,9.683,58759
팀장님은 신혼이 피곤하다,#계약연애#소설원작#로맨스코미디#로맨스#오피스로맨스#짝사랑,0,"강하다,장그",화요웹툰,9.913,63195
귀환했는데 입대 전날이다,#소설원작#판타지,0,"황금비둘기,오코",토요웹툰,9.891,102837
모스크바의 여명,#드라마#힐링#소설원작,0,"황장미,이샨",월요웹툰,9.932,64317
"너의 순정, 나의 순정",#학원로맨스#로맨스,0,정,화요웹툰,9.804,43945
수희0(tngmlek0),#하이퍼리얼리즘#드라마#머니게임#인플루언서,12,생일기,일요웹툰,9.847,240027
시한부 천재 암흑기사,#소년왕도물#소설원작#먼치킨#판타지#빙의#게임판타지,0,"정선율,나",목요웹툰,9.78,17870
완벽한 부부는 없다,#로맨스#소설원작,15,"초이,이다홍,롱",토요웹툰,9.814,102079
괴물공작의 딸,#육아물#힐링#판타지,0,"찬란,한바",수요웹툰,9.904,179724
먹지마세요,#인외존재#오컬트#동양풍판타지#판타지,15,"비버,노",토요웹툰,9.922,39423
세상은 돈과 권력,#드라마#블루스트링#재벌#머니게임,15,"이도희,한동",수요웹툰,9.779,445593
"황궁에 핀 꽃은, 미쳤다",#로맨스#소설원작#퓨전사극,0,"성소작,희구,한누",목요웹툰,9.626,48600
황후를 훔친 이는 누구인가,#로맨스#로판#소설원작,15,"핀쿠,뮬리,Lee jihy",수요웹툰,9.952,134214
보스의 노골적 취향,#로맨스#소설원작,15,"팀솜사탕,시크크,반지",일요웹툰,9.938,89044
연애고수,#삼각관계#인플루언서#로맨스#직진남#전남친,15,햇,수요웹툰,9.874,38244
스토커의 하루,#서스펜스#괴담#스릴러,15,bunn,금요웹툰,9.257,47809
에이머,#두뇌싸움#판타지,0,구동,화요웹툰,9.917,147751
피폐물의 해피엔딩을 위하여,#로맨스#빙의#로판#구원서사,0,,월요웹툰,9.953,48459
어느날 갑자기 서울은,#감염#좀비#아포칼립스#스릴러,15,박창,일요웹툰,9.865,220190
야매 힐러로 사는 법,#소설원작#판타지,0,"나옌,14획,새송이덮",토요웹툰,9.928,39292
미드우트,#판타지,15,원,금요웹툰,9.962,31769
합법해적 파르페,#최강자전#2017 최강자전#판타지,0,뼈피,금요웹툰,9.968,50544
사랑의 헌옷수거함,#친구>연인#걸크러시#하이틴#로맨스#학원로맨스,15,고,월요웹툰,9.773,226685
디펜스 게임의 폭군이 되었다,#소설원작#판타지,12,"하정,류은가람,",토요웹툰,9.972,120223
소녀의 세계,#삼각관계#하이틴#드라마#감성드라마#직진남#까칠남#학원로맨스,0,모랑,월요웹툰,9.157,1125878
